run,method,b,omega,residual
1,leastsq,0.18683685507116576,1.7625179924356535,29.925262826982596
2,leastsq,0.18683685507116576,1.7625179924356535,29.925262826982596
3,leastsq,0.18683685507116576,1.7625179924356535,29.925262826982596
4,leastsq,0.18683685507116576,1.7625179924356535,29.925262826982596
5,leastsq,0.18683685507116576,1.7625179924356535,29.925262826982596
6,leastsq,0.18683685507116576,1.7625179924356535,29.925262826982596
7,leastsq,0.18683685507116576,1.7625179924356535,29.925262826982596
8,leastsq,0.18683685507116576,1.7625179924356535,29.925262826982596
9,leastsq,0.18683685507116576,1.7625179924356535,29.925262826982596
10,leastsq,0.18683685507116576,1.7625179924356535,29.925262826982596
11,leastsq,0.18683685507116576,1.7625179924356535,29.925262826982596
12,leastsq,0.18683685507116576,1.7625179924356535,29.925262826982596
